,B0,E,Eh,El,Th,Tl,aic,bic,chisqr,id
0,,,,,,,,,,1
0,,,,,,,,,,3
0,,,,,,,,,,4
0,,,,,,,,,,5
0,4.3338434601812743e-07,1.05253032714875,31.71016928469965,4.042314061709177,31.71016928469965,31.71016928469965,-14.4446468965358,-15.69409008116747,0.07311792865977741,8
0,1.2187711358931593e-11,0.8673045447540002,-5.174652970360336,2.253896480299754,-5.174652970360336,-5.174652970360336,-36.390502623563805,-36.71504172923193,0.006963877851871305,9
0,,,,,,,,,,10
0,,,,,,,,,,11
0,,,,,,,,,,12
0,2.0274093704736496e-07,-0.044534591098723667,2.951816481364886e-05,-2.602458292381716,2.951816481364886e-05,2.951816481364886e-05,0.8150640667232629,-0.43437911790840644,0.9301619951677913,13
0,6.526394763578852e-08,0.3853817480602904,2.5075367401395887,-0.0013656124120546827,2.5075367401395887,2.5075367401395887,7.906807724910008,7.582268619241887,3.9007482568795484,14
0,,,,,,,,,,15
0,,,,,,,,,,16
0,,,,,,,,,,17
0,,,,,,,,,,18
0,0.0007240723693139556,0.4363166663506558,-3.1204859321133085e-05,0.0005849038594015985,-3.1204859321133085e-05,-3.1204859321133085e-05,-40.452843849308664,-40.77738295497679,0.003897759968191998,19
0,0.0002188567029433439,0.3661071662470263,1.3427995686795993,1.3421231948817869,1.3427995686795993,1.3427995686795993,-37.862564345277654,-38.18710345094578,0.00564314734716368,20
0,,,,,,,,,,21
0,0.001978265189852758,2.3694368154048147,1.6827715087161874,2.8524892285358288,1.6827715087161874,1.6827715087161874,-381.3444086419642,-382.5938518265959,2.0273725264180003e-28,22
0,,,,,,,,,,31
0,,,,,,,,,,32
0,,,,,,,,,,33
0,,,,,,,,,,36
0,,,,,,,,,,37
0,17.992158082740474,-3.301151399833019,-6.904175548395692,-3.8968415784449095,-6.904175548395692,-6.904175548395692,-39.01839810750853,-37.835050643491215,0.031070815041388315,38
0,,,,,,,,,,39
0,,,,,,,,,,40
0,3.1155245357435368e-06,0.5698167128661491,-21.665500534623067,1.8625177301428546,-21.665500534623067,-21.665500534623067,-24.117354613676653,-25.366797798308323,0.01458444640198902,41
0,,,,,,,,,,42
0,,,,,,,,,,43
0,,,,,,,,,,44
0,,,,,,,,,,45
0,,,,,,,,,,46
0,,,,,,,,,,47
0,,,,,,,,,,48
0,,,,,,,,,,49
0,,,,,,,,,,50
0,,,,,,,,,,51
0,,,,,,,,,,52
0,,,,,,,,,,53
0,,,,,,,,,,54
0,,,,,,,,,,55
0,,,,,,,,,,56
0,,,,,,,,,,57
0,,,,,,,,,,58
0,,,,,,,,,,59
0,9.333686168451689e-09,1.3399556492303655,-26.63192891908406,2.3354797642811604,-26.63192891908406,-26.63192891908406,-26.639238165657538,-26.162588915578525,0.06389825482353727,60
0,,,,,,,,,,61
0,1.809587554577795e-08,3.3521492403204207,7.524062142367516,2.9035881222342788,7.524062142367516,7.524062142367516,-44.241265275867185,-44.56580438153531,0.0022686818047263223,62
0,4.379177367324686e-09,2.4931987492853986,12.805716895168876,2.753366655576518,12.805716895168876,12.805716895168876,-57.9493089628818,-57.47265971280279,0.001275748672378447,63
0,,,,,,,,,,64
0,,,,,,,,,,65
0,5.065297424430487e-09,3.735256695326734,7.9384872387021375,3.5103993429969216,7.9384872387021375,7.9384872387021375,-44.167976439730545,-43.69132718965153,0.00714347795071105,66
0,,,,,,,,,,67
0,,,,,,,,,,68
0,,,,,,,,,,69
0,,,,,,,,,,70
0,,,,,,,,,,71
0,,,,,,,,,,72
0,,,,,,,,,,73
0,,,,,,,,,,74
0,,,,,,,,,,75
0,3.424215281815242e-08,5.675658377675893,11.181995202998541,5.315581607661261,11.181995202998541,11.181995202998541,-44.1585546473875,-42.97520718337018,0.017551518160688513,76
0,,,,,,,,,,77
0,,,,,,,,,,78
0,,,,,,,,,,79
0,1.0377030782129594e-05,22.434136368519304,29.375959614179852,21.70964508734491,29.375959614179852,29.375959614179852,-39.1030631365753,-37.919715672557984,0.030779895398086843,80
0,5.232907093889093e-10,4.469593754945362,8.283043805693659,4.091813207096174,8.283043805693659,8.283043805693659,-65.59514653803816,-65.91968564370629,0.00010738277344857275,81
0,,,,,,,,,,82
0,,,,,,,,,,83
0,,,,,,,,,,84
0,,,,,,,,,,85
0,8.883474290465908e-09,1.1431716109974563,11.796685377239525,3.8636705203925477,11.796685377239525,11.796685377239525,-23.369183671639135,-23.693722777307258,0.044742547901710686,86
0,8.891866614650172e-08,9.826972286470873,17.826902065181205,9.098798445247368,17.826902065181205,17.826902065181205,-31.925552401859022,-31.44890315178001,0.03299984189616152,87
0,,,,,,,,,,88
0,,,,,,,,,,89
0,,,,,,,,,,90
0,,,,,,,,,,91
0,,,,,,,,,,92
0,3.1472983741528235e-08,0.8328888470440493,5.707812010725911,-0.00022961172907794408,5.707812010725911,5.707812010725911,-18.130124174228854,-18.454663279896977,0.09457204968971862,93
0,,,,,,,,,,94
0,,,,,,,,,,95
0,,,,,,,,,,96
0,3.1738161622306693e-08,0.7651371284190942,4.523632286557712,0.0011617063168071515,4.523632286557712,4.523632286557712,-20.748330192306675,-21.072869297974798,0.06506147182849606,97
0,3.483573761696265e-08,0.6937236826205547,6.537124819757385,0.0005895272775524529,6.537124819757385,6.537124819757385,-18.069083251219073,-18.393622356887192,0.09540033656993194,98
0,0.00011863781252897238,27.449075153256363,32.76331548747417,26.60574669557843,32.76331548747417,32.76331548747417,-29.727243182904516,-30.05178228857264,0.018040706694545862,99
0,,,,,,,,,,100
