,B0,E,Eh,Newid,Th,aic,bic,chisqr
0,1.413857031451471e-07,1.3253813693507124,4.337344185585155,1,300.91200594655123,-31.20999143339928,-31.426350837178028,0.025848125411873858
0,1.1722705028915925e-08,13.636634298078262,13.650052329520204,3,285.6662971239419,-19.076779085173293,-17.48519799397981,0.9383520330912127
0,2.4156741940117854e-08,10.357503069746498,10.449629317477635,4,286.0338539024685,-16.192343170223886,-14.600762079030403,1.2196834382519524
0,2.722823257972351e-07,2.418519621507047,2.6687240048108753,5,290.31553740072604,-45.087373029740604,-43.87703265776442,0.04948170815220706
0,4.333851897353469e-07,1.0525267787872896,4.042356177438244,8,304.0684085423542,-18.444646896468655,-19.277609019556436,0.07311792866059569
0,9.102940623506584e-12,2.982418194353287,2.9880146793340954,9,286.9565533829346,-12.903235520193359,-13.119594923972105,0.3533605504873979
0,2.466749340346297e-07,0.6624679450573436,1.309277667380044,10,302.561010158303,-27.836143038986926,-28.669105162074707,0.015284270714557503
0,1.5282436049979253e-07,0.6198466784265746,3.0741643439528428,11,304.98373927903305,-16.18289151439189,-17.015853637479672,0.10659459737315066
0,2.3171086183104705e-07,0.34746389177902204,2.3041672192839653,12,309.029109269353,-22.863658116970825,-23.696620240058607,0.035007829228435705
0,2.293075636039532e-07,3.229918776881391e-09,0.06793142666380492,13,260.0001929260647,-3.173469468371003,-4.006431591458783,0.9319413064728483
0,3.2504959168733194e-08,0.3861962353089976,2.5081334048734627,14,308.8211949876443,3.9068061025795746,3.6904466988008275,3.900747352836423
0,2.3729822551388224e-08,2.5155021887985094,3.009652566015892,15,289.52956761279364,-2.1783022544293935,-3.0112643775171737,1.1000721407528633
0,1.019291953796575e-05,0.224409796006948,29.952078124456758,16,303.253432792527,-10.382933398188747,-10.599292801967493,0.506503931341794
0,3.185987378162558e-05,0.12856997226231903,7.572542748413014e-08,17,296.3287425896439,-7.715116838558394,-7.931476242337141,0.7414804062969943
0,7.036088107348348e-05,0.1373062050972893,2.098240960535236e-06,18,304.26079020558365,-7.829671692996186,-8.046031096774932,0.7294448443323788
0,0.00048236958104319605,0.4361277095159215,0.0,19,313.1500002431146,-44.45284589874579,-44.66920530252454,0.003897758827018735
0,0.00021885713372449267,0.36611197620533775,1.3426699304301253,20,312.2575981184669,-41.86256447726546,-42.078923881044204,0.0056431472407598784
0,0.0008188148856014266,0.544099786675581,0.0,21,313.15,-20.325019874577578,-21.15798199766536,0.05344633692850412
0,0.00023086479142886418,0.9721724890595962,1.219616128255161,22,296.2864850590608,-34.85695007948692,-35.6899122025747,0.0047430943300394565
0,2.1210379959057946e-05,0.5952561432555199,0.0,31,297.15,-21.250351623683393,-22.083313746771175,0.04580788071187237
0,1.6897594434794883e-13,3.388857691816167,5.728411620078868,32,299.1675770763952,-27.269007674421424,-26.480109365076544,0.17878808571704596
0,4.072112935737948e-08,0.6305705733508815,0.0,33,305.15,-33.782169556569194,-33.46440338984985,0.04313892087199735
0,2.345927452296337e-09,1.6146597759721186,2.226533431963854,36,295.66625919397546,-30.935389749507515,-31.768351872595296,0.009118297630063846
0,5.974836481126289e-07,1.5966280507559905,2.9687780742091623,37,296.5539908919799,-31.80408018479296,-29.86445358564096,0.43513452959094073
0,4.443059306247221e-06,0.5956901225744302,3.8968434364973623,38,312.9637777667135,-43.01839810769601,-42.22949979835113,0.031070815040741058
0,6.16439984013617e-06,0.4496542217288406,5.832995899637617,39,315.06409744183117,-56.82964040317974,-55.238059311986255,0.030327256989786153
0,6.948249247074045e-06,1.4436082267701411,1.4905685239655924,40,287.16978871998646,-31.2692545851707,-32.10221670825848,0.00862477593487775
0,2.7327823255429706e-06,0.7301452836112752,1.72648475991735,41,301.2012948335152,-26.71813041716358,-27.55109254025136,0.018414891881909756
0,2.5412595827667417e-06,0.5596045062677637,2.406993795931529,42,302.3673077943316,-29.839300012102342,-30.672262135190124,0.010945897693376153
0,1.025311655578065e-05,0.359549696621301,0.0,43,308.15,-21.895107433750418,-22.7280695568382,0.041140656532181796
0,3.0389564242838674e-07,1.1443765192860704,2.488208605861026,44,303.20462509908003,-32.79118719909945,-33.62414932218723,0.0066924735777135706
0,3.049165897550665e-07,1.0811021366789482,4.310179013575081,45,303.1969451715803,-28.881727527159228,-29.71468965024701,0.012839934029385882
0,1.3084178807076796e-07,2.139270005358074,2.379994643372878,46,294.96918514814763,-29.65156969741995,-30.484531820507733,0.011293791296972654
0,2.2374710684225363e-07,1.306701828289849,3.249734214060596,47,301.14530472043873,-18.625354812298873,-19.458316935386655,0.07094859585812413
0,3.6137083525566993e-07,1.0026273319887968,2.8890588847525547,48,304.860899393377,-39.621877286549505,-40.45483940963729,0.0021437040567567
