,B0,E,Eh,El,Newid,Th,Tl,aic,bic,chisqr
0,1.4138523374285228e-07,1.3253840453827777,7.743591451229131,4.337337124041085,1,329.94002802936365,300.9119917198898,-27.20999143331946,-27.534530538987582,0.02584812541216859
0,7.136338376204884e-08,2.4272939660978983,0.5935596515686384,2.4272939660978983,3,298.15,283.15,,,
0,9.70974963941355e-08,2.169515999495693,0.7378466875291023,2.169515999495693,4,298.15,283.15,,,
0,2.680138766475437e-07,2.4917133352659913,6.7547701441512205,2.7035773169151582,5,303.9350976857746,290.02530982434547,-41.2434708494959,-39.427960291531626,0.04871530671787816
0,4.3338415500748795e-07,1.052531094445051,22.82999806874917,4.042304986897712,8,324.0802238090954,304.06833594344727,-14.444646895062093,-15.694090079693762,0.07311792867773652
0,5.4498627832799684e-12,2.3114277007917456,62.80720396926992,2.633167349059244,9,324.35666672305763,291.3892620441842,-5.090531757632675,-5.415070863300796,0.6092086934750426
0,2.6943849795735275e-07,0.7826122688062827,25.156565033572438,1.0266563997670777,10,308.2593625084678,297.471746132,-24.301186361200507,-25.550629545832177,0.014144375039470828
0,1.5282445953168633e-07,0.6198465568259306,8.561882420834179,3.0741660537624202,11,329.85186992155445,304.9837419888862,-12.182891513923948,-13.432334698555618,0.10659459738146407
0,2.317126848172535e-07,0.3474439645264715,2.3055900069347386,2.3046102837811127,12,329.9788529003799,309.0439641894314,-18.86365794109387,-20.11310112572554,0.035007830254614125
0,3.4873421084213874e-07,2.310482916101364e-09,0.057449249502016686,0.05751549306898229,13,260.81287720062346,260.00005609557167,0.8214287619395755,-0.4280144226920939,0.9311492182899148
0,6.50137468305445e-08,0.38612444953512237,2.5076611925808185,2.924825379824192e-05,14,306.56665386093755,329.63355192630434,7.906806174593708,7.582267068925587,3.900747392966272
0,3.4112700220134684e-08,11.670367176021625,12.534698918586399,10.724360822885709,15,285.12352341126115,283.49982769178433,1.3300067181005844,0.08056353346891498,1.0135178060016692
0,1.0192919570162218e-05,0.22440980176530467,27.015496483421355,4.808511243518201,16,303.2646794314064,329.99501667341497,-6.382933373547029,-6.70747247921515,0.5065039331248121
0,1.5929857792196245e-05,0.1285726934681375,13.344199989724176,27.82619446714826,17,319.9434703281726,329.9444264101435,-3.7151168402349963,-4.039655945903117,0.741480406119399
0,7.074518240135497e-05,0.15549727202532404,8.328147060865376e-10,23.888603422394766,18,264.16747271942074,303.596454036845,-3.909879050183555,-4.234418155851676,0.7211344259935376
0,0.0007233783331239696,0.43624879026487506,0.0,0.00036548730269947427,19,313.15,297.7521022665544,-40.4528454538964,-40.777384559564524,0.003897759074720979
0,0.0002188569934065132,0.3661104367990735,1.3426863863760445,1.3426986031756205,20,312.7057380361658,329.9359892007004,-37.86256448177643,-38.187103587444554,0.005643147237123297
0,0.0070402739764188205,2.2700781925878477,0.0,1.803325798907947,21,313.1500002431146,273.49511193568947,-35.18895694059938,-36.438400125231055,0.0023040964212149356
0,0.001978265189852779,2.369436815404808,2.8524892285358194,1.6827715087161792,22,285.8851913723546,274.98877643135023,-381.2059409582689,-382.4553841429006,2.074704180731261e-28
0,2.061050449730928e-05,0.6642291352123653,0.0,45.99573769852646,31,297.15,297.2818266396538,-20.71214860242992,-21.96159178706159,0.025725686851708205
0,1.6231460620019789e-13,3.7359456458271554,6.054373274574471,0.8103111539187766,32,298.23827959434624,298.7752758804304,-23.45204907003147,-22.268701606014154,0.17518863242556146
0,2.547170541156163e-08,1.1020512052260125,0.0,1.3167582011737675,33,305.15,297.65564178285297,-38.184517149267066,-37.70786789918805,0.015091507630045685
0,1.358464674083848e-09,33.07259751675065,34.09996644807928,31.725367224296704,36,284.28541148824866,283.301874400805,-31.248943228414184,-32.49838641304585,0.004443123159537526
0,1.8137821171659851e-06,3.2726010111106048,6.00860014501606,2.560280659326731,37,293.6441622174607,282.1489714038956,-50.0060277435865,-47.0965878448585,0.06840821707837508
0,4.395624529696107e-06,0.6143363245657436,62.129031212463104,2.838370550111079,38,314.22218992206984,313.1846996750713,-40.81953117710383,-39.63618371308652,0.025435429361370724
0,5.85637751648882e-06,0.5174079163253518,8.192891574556839,2.014118611939504,39,315.8137615357113,315.224916851985,-97.31369351570505,-94.92632187891483,0.0005315500332751896
0,1.0084084466344123e-05,2.5330876617978815,2.3616855668242525,27.81695675198687,40,282.9125330441771,306.25194085042,-46.511453670583215,-47.76089685521488,0.0003491009313945046
0,1.7581079766681995e-05,19.420668477827668,20.713373575311184,18.85085294937976,41,284.3138369529959,282.51722095213995,-24.11734952032637,-25.36679270495804,0.014584458782609977
0,2.5412584161443874e-06,0.5596059381820886,2.4069880502532053,15.513891713231757,42,302.36727960410633,329.9556249945012,-25.8393000089466,-27.08874319357827,0.010945897699133211
0,9.78948296648241e-06,0.4106059047427695,0.0,30.85185873173996,43,308.15,308.30838965180675,-25.26187293120607,-26.51131611583774,0.012051662208157931
0,1.0069684419633518e-08,5.9032556773147675,8.169091546675675,5.03542406387282,44,294.73920427370956,288.5143220736479,-30.55724881275499,-31.80669199738666,0.004986029721549791
0,6.379671457779068e-09,6.051783921575411,10.030748903684268,5.193317608582957,45,296.0082267236298,288.95659786416655,-27.702604276031835,-28.952047460663504,0.008023815328790885
0,6.141223085620595e-09,5.580876332514403,7.475488231597335,4.946403612925937,46,295.2931215057451,290.17611862167774,-29.319197262078795,-30.568640446710464,0.006128695192143861
0,5.399727109889341e-09,5.265016465274107,9.806388267538736,4.818757460226284,47,297.7898806199261,290.8273308905029,-18.832910430700963,-20.082353615332632,0.03518769132176487
0,3.6137117476187086e-07,1.0026266037518847,2.8890518053175755,2.8904242031006877,48,304.88536758794385,318.5702020116638,-35.62187727740027,-36.871320462031946,0.0021437040600255737
0,6.481910341804564e-09,6.05239506577177,8.844635816626921,5.1245312043603795,49,294.7870686876034,288.79272345381037,-14.26366125630057,-15.513104440932239,0.07535707924558216
0,4.869030068022084e-09,1.4224429738978137,12.26938022740329,1.9335531424028165,50,305.35113000259395,295.07171357632933,-57.095420442030075,-57.4199595476982,0.00036163895713625085
0,4.131066599910582e-09,1.7401400155340938,9.780482702473698,2.691152218796793,51,302.4964605979038,295.4836405321259,-29.019148438818185,-28.54249918873917,0.04745601422988202
0,3.9995335932019316e-09,1.3153741051872525,16.189707804500006,2.8268236994539353,52,305.36899114492206,300.45450378359084,-16.792932109092032,-15.609584645074715,0.36714805177242704
0,1.4746597276626972e-09,2.966501895528706,49.359006204140435,3.4183496933323605,53,306.69082880294167,292.011912830315,-43.23566380480497,-43.560202910473095,0.002619166960128161
0,9.618755347773345e-09,1.4153239187203885,37.970950320090495,2.204850860145955,54,306.85716892192954,294.63290663048315,-41.02528245939139,-40.54863320931238,0.010580752125160305
0,5.574780193029483e-09,1.905729226949159,6.764149892926341,2.0718400666724595,55,302.06864954284265,292.88921348323686,-35.900312544662526,-35.42366329458351,0.02007866387618786
0,5.535091052166763e-09,1.6650741465132302,7.006047933631564,2.0319030073184052,56,303.5706148210692,294.76426095614653,-36.89556222769706,-35.71221476367975,0.03933597949363018
0,9.381737609004404e-10,3.157713550909408,12.646257110734023,3.610328435971791,57,302.6518627884031,292.2490058488894,-36.00515967622152,-36.32969878188964,0.007357980262993031
0,1.9780517224177174e-09,2.702854723259337,22.100877597700322,3.465544249917519,58,306.4051740184396,293.14612258655944,-30.222149030345186,-29.03880156632787,0.08256864137371822
0,6.386008166714419e-09,4.1271977994516975,7.475104262201494,3.6125086894558374,59,294.52618961174744,285.7880470388227,-33.66211623770842,-33.185466987629404,0.02656068967494951
