,B0,E,El,Newid,Tl,aic,bic,chisqr
0,1.4138576509559186e-07,1.3253810311784333,4.337344941359362,1,300.91200761183745,-31.209991433299315,-31.42635083707806,0.025848125412242972
0,1.1722725901108788e-08,13.636624158111026,13.65004242288549,3,285.66629903876134,-19.076779086594907,-17.485197995401425,0.9383520329699426
0,2.4156746603054557e-08,10.357500070541114,10.449626408809655,4,286.03385473318485,-16.192343169920857,-14.600762078727374,1.2196834382855521
0,2.722823884138137e-07,2.4185178844900936,2.6687226837489244,5,290.3155428404057,-45.08737302995929,-43.87703265798311,0.049481708151125
0,4.33384229170386e-07,1.052530788756488,4.042308608142811,8,304.06834107690264,-18.44464689571322,-19.277609018801,0.0731179286698017
0,9.450662474819183e-12,3.0393688997634367,3.029533247163865,9,286.715746411213,-13.010157176186016,-13.226516579964763,0.34800414926128964
0,2.4667493558894193e-07,0.6624681118981108,1.3092774416399608,10,302.56100446947835,-27.83614303898883,-28.66910516207661,0.015284270714552637
0,1.5282443488473518e-07,0.6198468760853602,3.0741620393895888,11,304.98373530611184,-16.182891514843305,-17.015853637931087,0.10659459736513086
0,2.317109180083321e-07,0.34746294373481623,2.3041924945629297,12,309.0291223502246,-22.863658117269768,-23.696620240357547,0.03500782922669146
0,0.0007792090035847465,2.407395467248039,2.4519158592963155,13,260.00025031837583,-3.1846335564543207,-4.017595679542101,0.9302088729204154
0,3.2505108826796913e-08,0.3861984542091397,2.507917925061339,14,308.82084050073655,3.9068060944143497,3.6904466906356026,3.9007473482863544
0,2.3729948006590007e-08,2.5153888314959723,3.009566528535909,15,289.5299333204876,-2.178302213755874,-3.011264336843654,1.1000721482101643
0,1.0192919601248462e-05,0.22440979164740282,31.948106860761875,16,303.2469693073055,-10.382933400011854,-10.5992928037906,0.5065039312098781
0,1.5929857242413803e-05,0.1285727217673962,24.842473206615914,17,321.84231838318306,-7.7151168402364885,-7.9314762440152355,0.7414804061192412
0,3.537259092611933e-05,0.15549727954042636,27.106334293630386,18,303.74653873497,-7.90987913298169,-8.126238536760436,0.7211344174637397
0,0.00048282205466754213,0.4364068349346044,0.0005578132731283159,19,261.6829733167997,-44.452844769755615,-44.66920417353436,0.003897759455666132
0,0.0002188571223746827,0.36611186150282493,1.3426712799082297,20,312.2576045106785,-41.862564477971375,-42.07892388175012,0.005643147240190791
0,0.0035201366011234914,2.270078007916436,1.8033256146830223,21,275.9953147033439,-39.188956940599496,-40.02191906368728,0.0023040964212148905
0,0.00023086529992255578,0.9721752745647669,1.2196155284612926,22,296.2863939397601,-34.856950080090044,-35.689912203177826,0.004743094329562677
0,1.0305252216458172e-05,0.6642291494866912,38.05835771119441,31,297.44811599182117,-24.712146927470165,-25.545109050557947,0.025725694033290933
0,1.8429702208777599e-13,3.325411384744757,5.740146100260189,32,299.30499171893524,-26.940754135439747,-26.151855826094867,0.18542933040053663
0,1.2749687305912971e-08,1.0994269336665354,1.3189399915064652,33,301.7967357969771,-42.18451214727257,-41.866745980553226,0.01509151706600339
0,3.4542577687091125e-09,1.0343079755616742,3.193881260660061,36,301.07916928712064,-26.49114564669248,-27.324107769780262,0.01912488704901771
0,5.974873460434793e-07,1.5966668237811819,2.968740587513768,37,296.5535697282612,-31.804080185212015,-29.864453586060016,0.43513452957574505
0,4.443057951331042e-06,0.5956905112443767,3.896831487003295,38,312.96377102285373,-43.01839810633853,-42.22949979699365,0.03107081504542752
0,6.164399960484346e-06,0.44965420844617454,5.83299641700678,39,315.0640977170873,-56.82964040330704,-55.238059312113556,0.030327256989435183
0,6.948244179350027e-06,1.4436057825745041,1.490566681169509,40,287.16980682663007,-31.269254584343997,-32.10221670743178,0.008624775936066097
0,2.732782300007841e-06,0.7301453573185588,1.7264846410905816,41,301.20129309750916,-26.718130417163522,-27.551092540251304,0.01841489188190992
0,2.5412610891173415e-06,0.5596026609112714,2.4070011891918477,42,302.36734410495944,-29.839300011592158,-30.67226213467994,0.01094589769430688
0,4.89474141840418e-06,0.41060592455463407,24.225671238893415,43,308.5863312944601,-29.261871873932883,-30.094833997020665,0.012051664331807998
0,3.038952309797338e-07,1.1443777796620225,2.4882041345607244,44,303.204610436771,-32.7911871990911,-33.62414932217888,0.006692473577722879
0,3.0491661817677596e-07,1.0811020688466386,4.310179629932133,45,303.19694565548645,-28.881727527160677,-29.71468965024846,0.012839934029382787
0,1.3083959560233893e-07,2.139290256570921,2.3800055055579312,46,294.9690951475267,-29.651569697354248,-30.48453182044203,0.011293791297096319
0,2.2371676888788272e-07,1.3068187802419908,3.2494957616015308,47,301.1444632669494,-18.625354810260916,-19.458316933348698,0.0709485958822225
0,3.6137138192948726e-07,1.0026260414409558,2.8890685815558395,48,304.86091164722296,-39.62187728650813,-40.45483940959591,0.0021437040567714814
0,2.605494155982768e-07,1.1614254175039291,3.4864835678751307,49,302.4811400102686,-17.950850221122913,-18.783812344210695,0.07939004993256929
0,8.91956930537674e-09,0.5309130813943781,5.440115960114858,50,305.09340600212215,-23.373104047744896,-23.589463451523642,0.07918551741810287
0,4.028966937852374e-09,1.595690745677794,3.500075092845046,51,297.53124398419106,-26.523503118776816,-26.20573695205747,0.1068855815290514
0,4.777677142797643e-09,0.9537026452755868,10.101322886278819,52,304.51193865952837,-15.360782110210945,-14.571883800866066,0.6713814126035639
0,5.390141000205517e-09,0.9673946366299182,5.5464188789406546,53,303.12754535202157,-8.975399000416914,-9.19175840419566,0.6193115314943374
0,1.4407938397908993e-08,0.49435613501762243,8.475766000562356,54,304.89176459388517,-15.5116295794281,-15.193863412708756,0.423368569869773
0,6.513380945705194e-09,1.1975793004615753,3.4684856169494624,55,301.04380389072315,-24.36603241896657,-24.048266252247224,0.13997205118560227
0,5.2058430899393215e-09,1.3868300829535625,3.0136925430326453,56,299.42674495691335,-30.034931517646193,-29.246033208301313,0.13148284072993335
0,3.6518275070562822e-09,1.2730453546666087,4.137300132921131,57,300.87175131222557,-12.916361497327749,-13.132720901106495,0.3526985709753771
0,2.6860884627666337e-09,1.658334091522765,4.752574018841047,58,300.3027314549315,-2.5865397851696876,-1.7976414758248094,2.7758093962222303
0,8.272828200261984e-09,1.2969881224522526,3.5945681999907073,59,299.66107833248003,-20.777527449022866,-20.459761282303525,0.2192046765635735
0,6.788744455477058e-09,1.6987016888754436,2.5572736239444236,60,294.85572521288725,-28.94359624536314,-28.625830078643794,0.07898415715323354
0,9.39193700588703e-09,1.053165282804366,4.39942858826155,61,301.5048134635417,-21.686422523245646,-21.3686563565263,0.19566304179841593
0,1.3550768063197438e-08,0.8672667004572887,4.3088952602573025,62,299.9197038574287,-27.11717395115941,-27.333533354938155,0.04638268827801831
